Австралия, Доллар (австралийский доллар), Australian Dollar, AUD
Румыния, Лей (новый румынский лей), Romanian Leu, RON
Саба, Доллар (доллар США), US Dollar, USD
Сальвадор, Колон (сальвадорский колон)[15], El Salvador Colon, SVC
Самоа, Тала, Tala, WST
Сан-Марино, Евро, Euro, EUR
Сан-Томе и Принсипи, Добра, Dobra, STD
Саудовская Аравия, Риял (саудовский риял), Saudi Riyal, SAR
Свазиленд, Лилангени (мн. Эмалангени)[24], Lilangeni, SZL
Остров Святой Елены
 Остров Вознесения
 Тристан-да-Кунья[27], Фунт (фунт Святой Елены), Saint Helena Pound, SHP
Северные
Марианские острова, Доллар (доллар США), US Dollar, USD
Сейшельские Острова, Рупия (сейшельская рупия), Seychelles Rupee, SCR
Сен-Бартелеми, Евро, Euro, EUR
Сен-Мартен, Евро, Euro, EUR
Сенегал, Франк (франк КФА BCEAO), CFA Franc BCEAO, XOF
Сент-Винсент и Гренадины, Доллар (восточно-карибский доллар), East Caribbean Dollar, XCD
Сент-Китс и Невис, Доллар (восточно-карибский доллар), East Caribbean Dollar, XCD
Сент-Люсия, Доллар (восточно-карибский доллар), East Caribbean Dollar, XCD
Сен-Пьер и Микелон, Евро, Euro, EUR
Сербия, Динар (сербский динар), Serbian Dinar, RSD
Сингапур, Доллар (сингапурский доллар)[28], Singapore Dollar, SGD
Синт-Мартен, Гульден (нидерландский антильский гульден), Netherlands Antillean Guilder, ANG
Синт-Эстатиус, Доллар (доллар США), US Dollar, USD
Сирия, Фунт (сирийский фунт), Syrian Pound, SYP
Словакия, Евро, Euro, EUR
Словения, Евро, Euro, EUR
Великобритания, Фунт (фунт стерлингов), Pound Sterling, GBP
Соломоновы Острова, Доллар (доллар Соломоновых Островов), Solomon Islands Dollar, SBD
Сомали, Шиллинг (сомалийский шиллинг), Somali Shilling, SOS
Судан, Фунт (суданский фунт), Sudanese Pound, SDG
Суринам, Доллар (суринамский доллар), Surinam Dollar, SRD
США, Доллар (доллар США), US Dollar, USD
Сьерра-Леоне, Леоне, Leone, SLL
Таджикистан, Сомони, Somoni, TJS
Таиланд, Бат, Baht, THB
Китайская Республика, Доллар (новый тайваньский доллар), New Taiwan Dollar, TWD
